
id10	60	1410638	0	0	1410638	118	1218694	0	
id20	180	7437060	0	0	7437060	177	1931349	0	
id21	60	1987297	0	0	1987297	59	1568677	0	
id22	232	574844	0	0	574844	59	373545	0	
id23	54	654766	0	0	654766	120	1861226	0	
id24	340	556112	0	0	556112	53	696	0	
id25	358	2424863	0	0	2424863	589	2357191	0	
id27	120	838448	1	0	838447	118	1207580	0	
id28	240	1282014	0	0	1282014	177	4653312	0	
id29	116	1617045	0	0	1617045	59	1150054	0	
id311	56	950960	0	0	950960	118	1649731	0	
id351	60	415925	0	0	415925	60	518584	0	
id371	882	1209328	10	0	1209318	119	1765491	0	
id431	228	446255	0	0	446255	59	316764	0	
id451	468	446044	0	0	446044	59	373571	0	
id471	156	487656	1	0	487655	59	394506	0	
id531	361	1501048	0	0	1501048	59	846074	0	
id551	60	1069856	0	0	1069856	118	2182067	0	
id571	1068	2308023	0	0	2308023	60	2414637	0	
id591	60	1303800	0	0	1303800	59	1002092	0	
id731	223	901815	0	0	901815	177	3533362	0	
id771	59	832702	0	0	832702	177	2348587	0	
id791	55	951732	0	0	951732	119	1080599	0	
id851	59	876105	0	0	876105	59	1392438	0	
id871	601	1070908	0	0	1070908	59	1132788	0	
id891	1044	744923	0	0	744923	60	86871	0	
id898	234	410975	0	0	410975	59	174736	0	
id931	109	1211462	0	0	1211462	67	2393632	0	
id951	58	340449	0	0	340449	59	296255	0	
id971	58	548954	0	1	548954	59	260333	0	
id991	299	4016486	0	0	4016486	58	287325	0	
