
id10	60	1023740	160	0	1023580	120	1144337	0	
id20	170	6479542	0	0	6479542	177	1902400	0	
id21	60	1764600	0	0	1764600	59	1275317	0	
id22	235	595419	0	0	595419	59	305843	0	
id23	56	486847	0	0	486847	119	1849345	0	
id24	352	597280	0	0	597280	54	1628	0	
id25	359	2109334	0	0	2109334	590	2534502	0	
id27	120	786387	0	0	786387	120	1188676	0	
id28	241	970274	0	0	970274	177	4387228	0	
id29	93	1401738	0	0	1401738	59	1051608	0	
id311	57	792595	0	0	792595	119	1514809	0	
id351	67	518170	124	0	518046	59	455531	0	
id371	886	1013640	0	0	1013640	118	1785397	0	
id431	228	409579	33	0	409546	59	308898	0	
id451	484	475067	75	0	474992	59	361260	0	
id471	152	555237	193	0	555044	59	352044	0	
id531	361	1652810	0	0	1652810	59	771116	0	
id551	66	1271548	0	0	1271548	118	2224189	0	
id571	1000	3421004	0	0	3421004	60	2157963	0	
id591	66	1510200	0	0	1510200	60	823488	0	
id731	224	1061310	0	0	1061310	177	3484106	0	
id771	55	847273	0	0	847273	177	2132756	0	
id791	57	1046981	0	0	1046981	118	1077400	0	
id851	59	858280	65	0	858215	60	1570950	0	
id871	136	1207968	0	0	1207968	59	1014117	0	
id891	476	339906	0	0	339906	58	61605	0	
id898	233	470080	27	0	470053	59	152902	0	
id931	146	1334650	0	0	1334650	60	1867139	0	
id951	60	242961	0	0	242961	60	283715	0	
id971	60	411794	59	0	411735	59	209283	0	
id991	299	2951679	505	0	2951174	59	286729	0	
