
id10	1792	64284332	293	0	64284039	2913	31392710	0	
id20	4570	193169410	231	0	193169179	4330	99147851	0	
id21	1696	51648513	0	0	51648513	2163	103246751	0	
id22	2160	19923275	131	0	19923144	1443	11675495	0	
id23	1353	25376320	89	0	25376231	2896	67710508	0	
id24	10004	18608098	0	0	18608098	1280	222203	0	
id25	7173	93374348	0	0	93374348	14403	63078078	0	
id27	2878	32884574	38	0	32884536	2889	35764579	0	
id28	5760	23162718	0	0	23162718	4426	137855615	0	
id29	1389	47940679	0	0	47940679	1471	38851261	0	
id311	1338	30048031	0	0	30048031	2986	56274800	0	
id351	1469	13965747	437	0	13965310	1442	15755305	0	
id371	7143	21750733	23	0	21750710	2875	10088601	0	
id431	3976	19771119	148	0	19770971	1447	9536215	0	
id451	2012	17677215	81	0	17677134	1463	19202680	0	
id471	1436	11857926	0	0	11857926	1447	15434565	0	
id531	271	27100000	0	12	27100000	1426	34023184	0	
id551	1471	20818190	0	0	20818190	2940	83369784	0	
id571	28722	425035558	0	2	425035558	1480	40654737	0	
id591	1453	46818000	0	0	46818000	1761	80970329	0	
id731	1368	28301289	12	0	28301277	4365	105889573	0	
id771	1406	26688732	0	0	26688732	4317	70801034	0	
id791	1270	19442533	0	0	19442533	2880	54002537	0	
id851	1394	28847997	0	0	28847997	1450	37046161	0	
id871	1421	28135079	0	0	28135079	3189	157303984	0	
id891	20097	6345506	19	0	6345487	1432	1543341	0	
id898	1413	14874003	123	0	14873880	1440	6634416	0	
id931	4736	32166089	0	0	32166089	1489	55633176	0	
id951	719	8172855	67	0	8172788	1440	10098948	0	
id971	1439	11308822	0	0	11308822	1436	7398424	0	
id991	13015	64643395	80	0	64643315	1441	11661120	0	
